province,province_code,district,district_code,ward,ward_code
Đắk Lắk,66,Buôn Đôn,647,Cuôr KNia,24247
Đắk Lắk,66,Buôn Đôn,647,Ea Bar,24250
Đắk Lắk,66,Buôn Đôn,647,Ea Huar,24238
Đắk Lắk,66,Buôn Đôn,647,Ea Nuôl,24253
Đắk Lắk,66,Buôn Đôn,647,Ea Wer,24241
Đắk Lắk,66,Buôn Đôn,647,Krông Na,24235
Đắk Lắk,66,Buôn Đôn,647,Tân Hoà,24244
Đắk Lắk,66,Buôn Ma Thuột,643,Cư ÊBur,24160
Đắk Lắk,66,Buôn Ma Thuột,643,Ea Kao,24169
Đắk Lắk,66,Buôn Ma Thuột,643,Ea Tu,24163
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Khánh,24175
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Phú,24172
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Thắng,24166
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Thuận,24157
Đắk Lắk,66,Buôn Ma Thuột,643,Hòa Xuân,24178
Đắk Lắk,66,Buôn Ma Thuột,643,P. Ea Tam,24151
Đắk Lắk,66,Buôn Ma Thuột,643,P. Khánh Xuân,24154
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân An,24124
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Hòa,24121
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Lập,24118
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Lợi,24136
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Thành,24142
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tân Tiến,24145
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thắng Lợi,24133
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thành Công,24139
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thành Nhất,24130
Đắk Lắk,66,Buôn Ma Thuột,643,P. Thống Nhất,24127
Đắk Lắk,66,Buôn Ma Thuột,643,P. Tự An,24148
Đắk Lắk,66,Cư Kuin,657,Cư Ê Wi,24541
Đắk Lắk,66,Cư Kuin,657,Dray Bhăng,24561
Đắk Lắk,66,Cư Kuin,657,Ea BHốk,24550
Đắk Lắk,66,Cư Kuin,657,Ea Hu,24553
Đắk Lắk,66,Cư Kuin,657,Ea Ktur,24544
Đắk Lắk,66,Cư Kuin,657,Ea Ning,24540
Đắk Lắk,66,Cư Kuin,657,Ea Tiêu,24547
Đắk Lắk,66,Cư Kuin,657,Hòa Hiệp,24562
Đắk Lắk,66,Cư M'Gar,648,Cư Dliê M'nông,24271
Đắk Lắk,66,Cư M'Gar,648,Cư M'gar,24289
Đắk Lắk,66,Cư M'Gar,648,Cuor Đăng,24301
Đắk Lắk,66,Cư M'Gar,648,Cư Suê,24298
Đắk Lắk,66,Cư M'Gar,648,Ea D'Rơng,24292
Đắk Lắk,66,Cư M'Gar,648,Ea H'đinh,24274
Đắk Lắk,66,Cư M'Gar,648,Ea Kiết,24265
Đắk Lắk,66,Cư M'Gar,648,Ea KPam,24280
Đắk Lắk,66,Cư M'Gar,648,Ea Kuêh,24264
Đắk Lắk,66,Cư M'Gar,648,Ea M'DRóh,24283
Đắk Lắk,66,Cư M'Gar,648,Ea M'nang,24295
Đắk Lắk,66,Cư M'Gar,648,Ea Tar,24268
Đắk Lắk,66,Cư M'Gar,648,Ea Tul,24277
Đắk Lắk,66,Cư M'Gar,648,Quảng Hiệp,24286
Đắk Lắk,66,Cư M'Gar,648,Quảng Tiến,24262
Đắk Lắk,66,Cư M'Gar,648,TT. Ea Pốk,24256
Đắk Lắk,66,Cư M'Gar,648,TT. Quảng Phú,24259
Đắk Lắk,66,Ea H'Leo,645,Cư A Mung,24194
Đắk Lắk,66,Ea H'Leo,645,Cư Mốt,24196
Đắk Lắk,66,Ea H'Leo,645,Dlêi Yang,24205
Đắk Lắk,66,Ea H'Leo,645,Ea Hiao,24199
Đắk Lắk,66,Ea H'Leo,645,Ea H'leo,24184
Đắk Lắk,66,Ea H'Leo,645,Ea Khal,24202
Đắk Lắk,66,Ea H'Leo,645,Ea Nam,24208
Đắk Lắk,66,Ea H'Leo,645,Ea Ral,24190
Đắk Lắk,66,Ea H'Leo,645,Ea Sol,24187
Đắk Lắk,66,Ea H'Leo,645,Ea Tir,24207
Đắk Lắk,66,Ea H'Leo,645,Ea Wy,24193
Đắk Lắk,66,Ea H'Leo,645,TT. Ea Drăng,24181
Đắk Lắk,66,Ea Kar,651,Cư Bông,24406
Đắk Lắk,66,Ea Kar,651,Cư ELang,24404
Đắk Lắk,66,Ea Kar,651,Cư Huê,24385
Đắk Lắk,66,Ea Kar,651,Cư Jang,24409
Đắk Lắk,66,Ea Kar,651,Cư Ni,24397
Đắk Lắk,66,Ea Kar,651,Cư Prông,24401
Đắk Lắk,66,Ea Kar,651,Ea Đar,24391
Đắk Lắk,66,Ea Kar,651,Ea Kmút,24394
Đắk Lắk,66,Ea Kar,651,Ea Ô,24403
Đắk Lắk,66,Ea Kar,651,Ea Păl,24400
Đắk Lắk,66,Ea Kar,651,Ea Sar,24380
Đắk Lắk,66,Ea Kar,651,Ea Sô,24379
Đắk Lắk,66,Ea Kar,651,Ea Tih,24388
Đắk Lắk,66,Ea Kar,651,TT. Ea Kar,24373
Đắk Lắk,66,Ea Kar,651,TT. Ea Knốp,24376
Đắk Lắk,66,Ea Kar,651,Xuân Phú,24382
Đắk Lắk,66,Ea Súp,646,Cư KBang,24226
Đắk Lắk,66,Ea Súp,646,Cư M'Lan,24232
Đắk Lắk,66,Ea Súp,646,Ea Bung,24229
Đắk Lắk,66,Ea Súp,646,Ea Lê,24223
Đắk Lắk,66,Ea Súp,646,Ea Rốki,24217
Đắk Lắk,66,Ea Súp,646,Ia JLơi,24215
Đắk Lắk,66,Ea Súp,646,Ia Lốp,24214
Đắk Lắk,66,Ea Súp,646,Ia RVê,24221
Đắk Lắk,66,Ea Súp,646,TT. Ea Súp,24211
Đắk Lắk,66,Ea Súp,646,Ya Tờ Mốt,24220
Đắk Lắk,66,Krông Ana,655,Băng A Drênh,24568
Đắk Lắk,66,Krông Ana,655,Bình Hòa,24574
Đắk Lắk,66,Krông Ana,655,Dray Sáp,24556
Đắk Lắk,66,Krông Ana,655,Dur KMăl,24571
Đắk Lắk,66,Krông Ana,655,Ea Bông,24565
Đắk Lắk,66,Krông Ana,655,Ea Na,24559
Đắk Lắk,66,Krông Ana,655,Quảng Điền,24577
Đắk Lắk,66,Krông Ana,655,TT. Buôn Trấp,24538
Đắk Lắk,66,Krông Bông,653,Cư Drăm,24484
Đắk Lắk,66,Krông Bông,653,Cư KTy,24454
Đắk Lắk,66,Krông Bông,653,Cư Pui,24478
Đắk Lắk,66,Krông Bông,653,Dang Kang,24451
Đắk Lắk,66,Krông Bông,653,Ea Trul,24472
Đắk Lắk,66,Krông Bông,653,Hòa Lễ,24466
Đắk Lắk,66,Krông Bông,653,Hòa Phong,24463
Đắk Lắk,66,Krông Bông,653,Hòa Sơn,24481
Đắk Lắk,66,Krông Bông,653,Hòa Tân,24460
Đắk Lắk,66,Krông Bông,653,Hòa Thành,24457
Đắk Lắk,66,Krông Bông,653,Khuê Ngọc Điền,24475
Đắk Lắk,66,Krông Bông,653,TT. Krông Kmar,24448
Đắk Lắk,66,Krông Bông,653,Yang Mao,24487
Đắk Lắk,66,Krông Bông,653,Yang Reh,24469
Đắk Lắk,66,Krông Búk,649,Chư KBô,24310
Đắk Lắk,66,Krông Búk,649,Cư Né,24307
Đắk Lắk,66,Krông Búk,649,Cư Pơng,24313
Đắk Lắk,66,Krông Búk,649,Ea Ngai,24319
Đắk Lắk,66,Krông Búk,649,Ea Sin,24314
Đắk Lắk,66,Krông Búk,649,Pơng Drang,24316
Đắk Lắk,66,Krông Búk,649,Tân Lập,24317
Đắk Lắk,66,Krông Năng,650,Cư Klông,24367
Đắk Lắk,66,Krông Năng,650,ĐLiê Ya,24346
Đắk Lắk,66,Krông Năng,650,Ea Dăh,24360
Đắk Lắk,66,Krông Năng,650,Ea Hồ,24361
Đắk Lắk,66,Krông Năng,650,Ea Puk,24359
Đắk Lắk,66,Krông Năng,650,Ea Tam,24352
Đắk Lắk,66,Krông Năng,650,Ea Tân,24370
Đắk Lắk,66,Krông Năng,650,Ea Tóh,24349
Đắk Lắk,66,Krông Năng,650,Phú Lộc,24355
Đắk Lắk,66,Krông Năng,650,Phú Xuân,24364
Đắk Lắk,66,Krông Năng,650,Tam Giang,24358
Đắk Lắk,66,Krông Năng,650,TT. Krông Năng,24343
Đắk Lắk,66,Krông Pắc,654,Ea Hiu,24520
Đắk Lắk,66,Krông Pắc,654,Ea Kênh,24499
Đắk Lắk,66,Krông Pắc,654,Ea Kly,24496
Đắk Lắk,66,Krông Pắc,654,Ea KNuec,24505
Đắk Lắk,66,Krông Pắc,654,Ea Kuăng,24514
Đắk Lắk,66,Krông Pắc,654,Ea Phê,24502
Đắk Lắk,66,Krông Pắc,654,Ea Uy,24532
Đắk Lắk,66,Krông Pắc,654,Ea Yiêng,24535
Đắk Lắk,66,Krông Pắc,654,Ea Yông,24508
Đắk Lắk,66,Krông Pắc,654,Hòa An,24511
Đắk Lắk,66,Krông Pắc,654,Hòa Đông,24517
Đắk Lắk,66,Krông Pắc,654,Hòa Tiến,24523
Đắk Lắk,66,Krông Pắc,654,KRông Búk,24493
Đắk Lắk,66,Krông Pắc,654,Tân Tiến,24526
Đắk Lắk,66,Krông Pắc,654,TT. Phước An,24490
Đắk Lắk,66,Krông Pắc,654,Vụ Bổn,24529
Đắk Lắk,66,Lắk,656,Bông Krang,24586
Đắk Lắk,66,Lắk,656,Buôn Tría,24595
Đắk Lắk,66,Lắk,656,Buôn Triết,24592
Đắk Lắk,66,Lắk,656,Đắk Liêng,24589
Đắk Lắk,66,Lắk,656,Đắk Nuê,24601
Đắk Lắk,66,Lắk,656,Đắk Phơi,24598
Đắk Lắk,66,Lắk,656,Ea R'Bin,24610
Đắk Lắk,66,Lắk,656,Krông Nô,24604
Đắk Lắk,66,Lắk,656,Nam Ka,24607
Đắk Lắk,66,Lắk,656,TT. Liên Sơn,24580
Đắk Lắk,66,Lắk,656,Yang Tao,24583
Đắk Lắk,66,M'Đrắk,652,Cư K Róa,24439
Đắk Lắk,66,M'Đrắk,652,Cư M'ta,24436
Đắk Lắk,66,M'Đrắk,652,Cư Prao,24415
Đắk Lắk,66,M'Đrắk,652,Cư San,24444
Đắk Lắk,66,M'Đrắk,652,Ea H'MLay,24424
Đắk Lắk,66,M'Đrắk,652,Ea Lai,24421
Đắk Lắk,66,M'Đrắk,652,Ea M' Doal,24430
Đắk Lắk,66,M'Đrắk,652,Ea Pil,24418
Đắk Lắk,66,M'Đrắk,652,Ea Riêng,24433
Đắk Lắk,66,M'Đrắk,652,Ea Trang,24445
Đắk Lắk,66,M'Đrắk,652,Krông á,24442
Đắk Lắk,66,M'Đrắk,652,Krông Jing,24427
Đắk Lắk,66,M'Đrắk,652,TT. M'Đrắk,24412
Đắk Lắk,66,TX. Buôn Hồ,644,Bình Thuận,24337
Đắk Lắk,66,TX. Buôn Hồ,644,Cư Bao,24340
Đắk Lắk,66,TX. Buôn Hồ,644,Ea Blang,24325
Đắk Lắk,66,TX. Buôn Hồ,644,Ea Drông,24328
Đắk Lắk,66,TX. Buôn Hồ,644,Ea Siên,24334
Đắk Lắk,66,TX. Buôn Hồ,644,P. An Bình,24308
Đắk Lắk,66,TX. Buôn Hồ,644,P. An Lạc,24305
Đắk Lắk,66,TX. Buôn Hồ,644,P. Bình Tân,24332
Đắk Lắk,66,TX. Buôn Hồ,644,P. Đạt Hiếu,24318
Đắk Lắk,66,TX. Buôn Hồ,644,P. Đoàn Kết,24322
Đắk Lắk,66,TX. Buôn Hồ,644,P. Thiện An,24311
Đắk Lắk,66,TX. Buôn Hồ,644,P. Thống Nhất,24331
Đắk Nông,67,Cư Jút,662,Cư Knia,24658
Đắk Nông,67,Cư Jút,662,Đắk Drông,24652
Đắk Nông,67,Cư Jút,662,Đắk Wil,24643
Đắk Nông,67,Cư Jút,662,Ea Pô,24646
Đắk Nông,67,Cư Jút,662,Nam Dong,24649
Đắk Nông,67,Cư Jút,662,Tâm Thắng,24655
Đắk Nông,67,Cư Jút,662,Trúc Sơn,24661
Đắk Nông,67,Cư Jút,662,TT. Ea T'Ling,24640
Đắk Nông,67,Đắk Glong,661,Đắk Ha,24622
Đắk Nông,67,Đắk Glong,661,Đắk Plao,24634
Đắk Nông,67,Đắk Glong,661,Đắk R'Măng,24625
Đắk Nông,67,Đắk Glong,661,Đắk Som,24637
Đắk Nông,67,Đắk Glong,661,Quảng Hòa,24620
Đắk Nông,67,Đắk Glong,661,Quảng Khê,24631
Đắk Nông,67,Đắk Glong,661,Quảng Sơn,24616
Đắk Nông,67,Đắk Mil,663,Đắk Gằn,24673
Đắk Nông,67,Đắk Mil,663,Đắk Lao,24667
Đắk Nông,67,Đắk Mil,663,Đắk N'Drót,24677
Đắk Nông,67,Đắk Mil,663,Đắk R'La,24670
Đắk Nông,67,Đắk Mil,663,Đắk Sắk,24679
Đắk Nông,67,Đắk Mil,663,Đức Mạnh,24676
Đắk Nông,67,Đắk Mil,663,Đức Minh,24685
Đắk Nông,67,Đắk Mil,663,Long Sơn,24678
Đắk Nông,67,Đắk Mil,663,Thuận An,24682
Đắk Nông,67,Đắk Mil,663,TT. Đắk Mil,24664
Đắk Nông,67,Đắk RLấp,666,Đắk Ru,24763
Đắk Nông,67,Đắk RLấp,666,Đắk Sin,24760
Đắk Nông,67,Đắk RLấp,666,Đắk Wer,24750
Đắk Nông,67,Đắk RLấp,666,Đạo Nghĩa,24757
Đắk Nông,67,Đắk RLấp,666,Hưng Bình,24761
Đắk Nông,67,Đắk RLấp,666,Kiến Thành,24754
Đắk Nông,67,Đắk RLấp,666,Nghĩa Thắng,24756
Đắk Nông,67,Đắk RLấp,666,Nhân Cơ,24751
Đắk Nông,67,Đắk RLấp,666,Nhân Đạo,24766
Đắk Nông,67,Đắk RLấp,666,Quảng Tín,24745
Đắk Nông,67,Đắk RLấp,666,TT. Kiến Đức,24733
Đắk Nông,67,Đắk Song,665,Đắk Hòa,24719
Đắk Nông,67,Đắk Song,665,Đắk Môl,24718
Đắk Nông,67,Đắk Song,665,Đắk N'Drung,24727
Đắk Nông,67,Đắk Song,665,Nam Bình,24721
Đắk Nông,67,Đắk Song,665,Nâm N'Jang,24728
Đắk Nông,67,Đắk Song,665,Thuận Hà,24722
Đắk Nông,67,Đắk Song,665,Thuận Hạnh,24724
Đắk Nông,67,Đắk Song,665,Trường Xuân,24730
Đắk Nông,67,Đắk Song,665,TT. Đức An,24717
Đắk Nông,67,KRông Nô,664,Buôn Choah,24694
Đắk Nông,67,KRông Nô,664,Đắk DRô,24700
Đắk Nông,67,KRông Nô,664,Đắk Nang,24709
Đắk Nông,67,KRông Nô,664,Đắk Sôr,24691
Đắk Nông,67,KRông Nô,664,Đức Xuyên,24706
Đắk Nông,67,KRông Nô,664,Nam Đà,24697
Đắk Nông,67,KRông Nô,664,Nâm N'Đir,24715
Đắk Nông,67,KRông Nô,664,Nam Nung,24703
Đắk Nông,67,KRông Nô,664,Nam Xuân,24692
Đắk Nông,67,KRông Nô,664,Quảng Phú,24712
Đắk Nông,67,KRông Nô,664,Tân Thành,24699
Đắk Nông,67,KRông Nô,664,TT. Đắk Mâm,24688
Đắk Nông,67,Tuy Đức,667,Đắk Búk So,24739
Đắk Nông,67,Tuy Đức,667,Đắk Ngo,24746
Đắk Nông,67,Tuy Đức,667,Đắk R'Tih,24742
Đắk Nông,67,Tuy Đức,667,Quảng Tâm,24740
Đắk Nông,67,Tuy Đức,667,Quảng Tân,24748
Đắk Nông,67,Tuy Đức,667,Quảng Trực,24736
Đắk Nông,67,TX. Gia Nghĩa,660,Đắk Nia,24628
Đắk Nông,67,TX. Gia Nghĩa,660,Đắk R'Moan,24618
Đắk Nông,67,TX. Gia Nghĩa,660,P. Nghĩa Đức,24611
Đắk Nông,67,TX. Gia Nghĩa,660,P. Nghĩa Phú,24614
Đắk Nông,67,TX. Gia Nghĩa,660,P. Nghĩa Tân,24615
Đắk Nông,67,TX. Gia Nghĩa,660,P. Nghĩa Thành,24612
Đắk Nông,67,TX. Gia Nghĩa,660,P. Nghĩa Trung,24617
Đắk Nông,67,TX. Gia Nghĩa,660,Quảng Thành,24619
Gia Lai,64,Chư Păh,627,Chư Đăng Ya,23746
Gia Lai,64,Chư Păh,627,Chư Jôr,23758
Gia Lai,64,Chư Păh,627,Đăk Tơ Ver,23740
Gia Lai,64,Chư Păh,627,Hà Tây,23725
Gia Lai,64,Chư Păh,627,Hòa Phú,23743
Gia Lai,64,Chư Păh,627,Ia Ka,23749
Gia Lai,64,Chư Păh,627,Ia Khươl,23728
Gia Lai,64,Chư Păh,627,Ia Kreng,23738
Gia Lai,64,Chư Păh,627,Ia Mơ Nông,23737
Gia Lai,64,Chư Păh,627,Ia Nhin,23752
Gia Lai,64,Chư Păh,627,Ia Phí,23731
Gia Lai,64,Chư Păh,627,Nghĩa Hòa,23755
Gia Lai,64,Chư Păh,627,Nghĩa Hưng,23761
Gia Lai,64,Chư Păh,627,TT. Ia Ly,23734
Gia Lai,64,Chư Păh,627,TT. Phú Hòa,23722
Gia Lai,64,Chư Prông,632,Bàu Cạn,23899
Gia Lai,64,Chư Prông,632,Bình Giáo,23890
Gia Lai,64,Chư Prông,632,Ia Bang,23924
Gia Lai,64,Chư Prông,632,Ia Băng,23905
Gia Lai,64,Chư Prông,632,Ia Boòng,23911
Gia Lai,64,Chư Prông,632,Ia Drang,23893
Gia Lai,64,Chư Prông,632,Ia Ga,23929
Gia Lai,64,Chư Prông,632,Ia Kly,23888
Gia Lai,64,Chư Prông,632,Ia Lâu,23932
Gia Lai,64,Chư Prông,632,Ia Me,23920
Gia Lai,64,Chư Prông,632,Ia Mơ,23938
Gia Lai,64,Chư Prông,632,Ia O,23914
Gia Lai,64,Chư Prông,632,Ia Phìn,23902
Gia Lai,64,Chư Prông,632,Ia Pia,23926
Gia Lai,64,Chư Prông,632,Ia Piơr,23935
Gia Lai,64,Chư Prông,632,Ia Púch,23917
Gia Lai,64,Chư Prông,632,Ia Tôr,23908
Gia Lai,64,Chư Prông,632,Ia Vê,23923
Gia Lai,64,Chư Prông,632,Thăng Hưng,23896
Gia Lai,64,Chư Prông,632,TT. Chư Prông,23887
Gia Lai,64,Chư Pưh,639,Chư Don,23980
Gia Lai,64,Chư Pưh,639,Ia Blứ,23987
Gia Lai,64,Chư Pưh,639,Ia Dreng,23974
Gia Lai,64,Chư Pưh,639,Ia Hla,23978
Gia Lai,64,Chư Pưh,639,Ia Hrú,23971
Gia Lai,64,Chư Pưh,639,Ia Le,23986
Gia Lai,64,Chư Pưh,639,Ia Phang,23983
Gia Lai,64,Chư Pưh,639,Ia Rong,23972
Gia Lai,64,Chư Pưh,639,TT. Nhơn Hòa,23942
Gia Lai,64,Chư Sê,633,Al Bá,23953
Gia Lai,64,Chư Sê,633,Ayun,23956
Gia Lai,64,Chư Sê,633,Bar Măih,23946
Gia Lai,64,Chư Sê,633,Bờ Ngoong,23947
Gia Lai,64,Chư Sê,633,Chư Pơng,23945
Gia Lai,64,Chư Sê,633,Dun,23965
Gia Lai,64,Chư Sê,633,HBông,23968
Gia Lai,64,Chư Sê,633,Ia Blang,23962
Gia Lai,64,Chư Sê,633,Ia Glai,23950
Gia Lai,64,Chư Sê,633,Ia Hlốp,23959
Gia Lai,64,Chư Sê,633,Ia Ko,23977
Gia Lai,64,Chư Sê,633,Ia Pal,23966
Gia Lai,64,Chư Sê,633,Ia Tiêm,23944
Gia Lai,64,Chư Sê,633,Kông HTok,23954
Gia Lai,64,Chư Sê,633,TT. Chư Sê,23941
Gia Lai,64,Đăk Đoa,626,A Dơk,23710
Gia Lai,64,Đăk Đoa,626,Đăk Krong,23684
Gia Lai,64,Đăk Đoa,626,Đăk Sơ Mei,23683
Gia Lai,64,Đăk Đoa,626,Glar,23707
Gia Lai,64,Đăk Đoa,626,Hà Bầu,23692
Gia Lai,64,Đăk Đoa,626,Hà Đông,23680
Gia Lai,64,Đăk Đoa,626,Hải Yang,23686
Gia Lai,64,Đăk Đoa,626,HNeng,23701
Gia Lai,64,Đăk Đoa,626,HNol,23714
Gia Lai,64,Đăk Đoa,626,Ia Băng,23719
Gia Lai,64,Đăk Đoa,626,Ia Pết,23716
Gia Lai,64,Đăk Đoa,626,KDang,23698
Gia Lai,64,Đăk Đoa,626,Kon Gang,23689
Gia Lai,64,Đăk Đoa,626,Nam Yang,23695
Gia Lai,64,Đăk Đoa,626,Tân Bình,23704
Gia Lai,64,Đăk Đoa,626,Trang,23713
Gia Lai,64,Đăk Đoa,626,TT. Đăk Đoa,23677
Gia Lai,64,Đak Pơ,634,An Thành,23992
Gia Lai,64,Đak Pơ,634,Cư An,24001
Gia Lai,64,Đak Pơ,634,Hà Tam,23989
Gia Lai,64,Đak Pơ,634,Phú An,24007
Gia Lai,64,Đak Pơ,634,Tân An,24004
Gia Lai,64,Đak Pơ,634,TT. Đak Pơ,23995
Gia Lai,64,Đak Pơ,634,Ya Hội,24010
Gia Lai,64,Đak Pơ,634,Yang Băc,23998
Gia Lai,64,Đức Cơ,631,Ia Din,23866
Gia Lai,64,Đức Cơ,631,Ia Dơk,23860
Gia Lai,64,Đức Cơ,631,Ia Dom,23872
Gia Lai,64,Đức Cơ,631,Ia Kla,23869
Gia Lai,64,Đức Cơ,631,Ia Krêl,23863
Gia Lai,64,Đức Cơ,631,Ia Kriêng,23878
Gia Lai,64,Đức Cơ,631,Ia Lang,23875
Gia Lai,64,Đức Cơ,631,Ia Nan,23884
Gia Lai,64,Đức Cơ,631,Ia Pnôn,23881
Gia Lai,64,Đức Cơ,631,TT. Chư Ty,23857
Gia Lai,64,Ia Grai,628,Ia Bă,23771
Gia Lai,64,Ia Grai,628,Ia Chia,23788
Gia Lai,64,Ia Grai,628,Ia Dêr,23785
Gia Lai,64,Ia Grai,628,Ia Grăng,23778
Gia Lai,64,Ia Grai,628,Ia Hrung,23770
Gia Lai,64,Ia Grai,628,Ia Khai,23773
Gia Lai,64,Ia Grai,628,Ia Krăi,23776
Gia Lai,64,Ia Grai,628,Ia O,23782
Gia Lai,64,Ia Grai,628,Ia Pếch,23791
Gia Lai,64,Ia Grai,628,Ia Sao,23767
Gia Lai,64,Ia Grai,628,Ia Tô,23779
Gia Lai,64,Ia Grai,628,Ia Yok,23768
